Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs
"White, 20 slices, or",454,270,8.59030837,3.303964758,2.643171806,1.982378855,50.44052863
Whole-wheat,454,242,10.57268722,3.083700441,2.202643172,14.86784141,47.57709251
Whole-wheat,23,239.1304348,8.695652174,4.347826087,0,1.347826087,47.82608696
Corn bread ground meal,50,200,6,8,4,0.6,30
Cornflakes,25,440,8,#VALUE!,0,0.4,100
Corn grits cooked,242,49.58677686,3.305785124,#VALUE!,0,0.082644628,11.15702479
Corn meal,118,305.0847458,7.627118644,3.389830508,1.694915254,1.355932203,62.71186441
Crackers,14,392.8571429,7.142857143,7.142857143,0,#VALUE!,71.42857143
"Soda, 2 1/2 square",11,409.0909091,9.090909091,9.090909091,0,#VALUE!,72.72727273
Farina,238,44.11764706,1.260504202,#VALUE!,0,3.361344538,9.243697479
Flour,110,418.1818182,35.45454545,20,0,2.636363636,30
Wheat (all purpose),110,363.6363636,10.90909091,0.909090909,0,0.272727273,76.36363636
Wheat (whole),120,325,10.83333333,1.666666667,0,2.333333333,65.83333333
Macaroni,140,110.7142857,3.571428571,0.714285714,0,0.071428571,22.85714286
Baked with cheese,220,215.9090909,8.181818182,11.36363636,10.90909091,#VALUE!,20
Muffins,48,281.25,8.333333333,10.41666667,8.333333333,#VALUE!,39.58333333
Noodles,160,125,4.375,1.25,1.25,0.0625,23.125
Oatmeal,236,63.55932203,2.118644068,1.271186441,0.847457627,1.949152542,11.01694915
"Pancakes 4"" diam.",108,231.4814815,6.481481481,8.333333333,0,0.092592593,25.92592593
"Wheat, pancakes 4"" diam.",108,231.4814815,6.481481481,8.333333333,0,0.092592593,25.92592593
"Pizza 14"" diam.",75,240,10.66666667,8,6.666666667,#VALUE!,30.66666667
Popcorn salted,28,542.8571429,10.71428571,25,7.142857143,1.785714286,71.42857143
Puffed rice,14,392.8571429,#VALUE!,#VALUE!,0,#VALUE!,85.71428571
Puffed wheat presweetened,28,375,3.571428571,#VALUE!,0,2.142857143,92.85714286
Rice,208,359.6153846,7.211538462,1.442307692,0,0.576923077,74.03846154
Converted,187,362.0320856,7.486631016,#VALUE!,0,0.213903743,75.93582888
White,191,362.3036649,7.329842932,#VALUE!,0,0.157068063,78.53403141
Rice flakes,30,383.3333333,6.666666667,#VALUE!,0,0.333333333,86.66666667
Rice polish,50,264,12,12,0,2.4,56
Rolls,50,822,6,24,22,0.2,46
of refined flour,38,302.6315789,7.894736842,5.263157895,5.263157895,#VALUE!,52.63157895
whole-wheat,40,255,10,2.5,0,0.25,50
Spaghetti with meat sauce,250,114,5.2,4,2.4,0.2,14
with tomatoes and cheese,250,84,2.4,2,1.2,0.2,14.4
Spanish rice,250,86.8,1.6,1.6,0,0.48,16
Shredded wheat biscuit,28,357.1428571,10.71428571,3.571428571,0,2.5,82.14285714
Waffles,75,320,10.66666667,12,1.333333333,0.133333333,40
Wheat germ,68,360.2941176,25,10.29411765,4.411764706,3.676470588,50
Wheat-germ cereal toasted,65,400,30.76923077,10.76923077,4.615384615,3.846153846,55.38461538
Wheat meal cereal unrefined,30,343.3333333,13.33333333,3.333333333,0,2.333333333,83.33333333
"Wheat, cooked",200,137.5,6,0.5,0,2.2,17.5
Bean soups,250,76,3.2,2,1.6,0.24,12
Beef soup,250,40,2.4,1.6,1.6,0.2,4.4
Bouillon,240,10,2.083333333,0,0,0,0
chicken soup,250,30,1.6,0.8,0.8,0,4
Clam chowder,255,33.33333333,1.960784314,0.784313725,3.137254902,0.196078431,4.705882353
